Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","C118 Sugar and Confectionery Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C118 Sugar and Confectionery Manufacturing","Employee Count",45,
"2018","Canterbury Region","C119 Other Food Product Manufacturing","Geographic Units",120,
"2018","Canterbury Region","C119 Other Food Product Manufacturing","Employee Count",730,
"2018","Canterbury Region","C121 Beverage Manufacturing","Geographic Units",96,
"2018","Canterbury Region","C121 Beverage Manufacturing","Employee Count",690,
"2018","Canterbury Region","C122 Cigarette and Tobacco Product Manufacturing","Geographic Units",0,
"2018","Canterbury Region","C122 Cigarette and Tobacco Product Manufacturing","Employee Count",9,
"2018","Canterbury Region","C131 Textile Fibre, Yarn and Woven Fabric Manufacturing","Geographic Units",21,
"2018","Canterbury Region","C131 Textile Fibre, Yarn and Woven Fabric Manufacturing","Employee Count",180,
"2018","Canterbury Region","C132 Leather Tanning and Fur Dressing","Geographic Units",18,
"2018","Canterbury Region","C132 Leather Tanning and Fur Dressing","Employee Count",380,
"2018","Canterbury Region","C133 Textile Product Manufacturing","Geographic Units",93,
"2018","Canterbury Region","C133 Textile Product Manufacturing","Employee Count",330,
"2018","Canterbury Region","C134 Knitted Product Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C134 Knitted Product Manufacturing","Employee Count",200,
"2018","Canterbury Region","C135 Clothing and Footwear Manufacturing","Geographic Units",75,
"2018","Canterbury Region","C135 Clothing and Footwear Manufacturing","Employee Count",370,
"2018","Canterbury Region","C141 Log Sawmilling and Timber Dressing","Geographic Units",57,
"2018","Canterbury Region","C141 Log Sawmilling and Timber Dressing","Employee Count",640,
"2018","Canterbury Region","C149 Other Wood Product Manufacturing","Geographic Units",225,
"2018","Canterbury Region","C149 Other Wood Product Manufacturing","Employee Count",1600,
"2018","Canterbury Region","C151 Pulp, Paper and Paperboard Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C151 Pulp, Paper and Paperboard Manufacturing","Employee Count",15,
"2018","Canterbury Region","C152 Converted Paper Product Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C152 Converted Paper Product Manufacturing","Employee Count",340,
"2018","Canterbury Region","C161 Printing","Geographic Units",132,
"2018","Canterbury Region","C161 Printing","Employee Count",970,
"2018","Canterbury Region","C162 Reproduction of Recorded Media","Geographic Units",6,
"2018","Canterbury Region","C162 Reproduction of Recorded Media","Employee Count",6,
"2018","Canterbury Region","C170 Petroleum Refining and Petroleum and Coal Product Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C170 Petroleum Refining and Petroleum and Coal Product Manufacturing","Employee Count",55,
"2018","Canterbury Region","C181 Chemical Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C181 Chemical Manufacturing","Employee Count",40,
"2018","Canterbury Region","C182 Basic Polymer Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C182 Basic Polymer Manufacturing","Employee Count",95,
"2018","Canterbury Region","C183 Fertiliser and Pesticide Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C183 Fertiliser and Pesticide Manufacturing","Employee Count",170,
"2018","Canterbury Region","C184 Pharmaceutical and Medicinal Product Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C184 Pharmaceutical and Medicinal Product Manufacturing","Employee Count",300,
"2018","Canterbury Region","C185 Cleaning Compound and Toiletry Preparation Manufacturing","Geographic Units",24,
"2018","Canterbury Region","C185 Cleaning Compound and Toiletry Preparation Manufacturing","Employee Count",290,
"2018","Canterbury Region","C189 Other Basic Chemical Product Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C189 Other Basic Chemical Product Manufacturing","Employee Count",45,
"2018","Canterbury Region","C191 Polymer Product Manufacturing","Geographic Units",99,
"2018","Canterbury Region","C191 Polymer Product Manufacturing","Employee Count",1150,
"2018","Canterbury Region","C192 Natural Rubber Product Manufacturing","Geographic Units",3,
"2018","Canterbury Region","C192 Natural Rubber Product Manufacturing","Employee Count",240,
"2018","Canterbury Region","C201 Glass and Glass Product Manufacturing","Geographic Units",33,
"2018","Canterbury Region","C201 Glass and Glass Product Manufacturing","Employee Count",560,
"2018","Canterbury Region","C202 Ceramic Product Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C202 Ceramic Product Manufacturing","Employee Count",65,
"2018","Canterbury Region","C203 Cement, Lime, Plaster and Concrete Product Manufacturing","Geographic Units",84,
"2018","Canterbury Region","C203 Cement, Lime, Plaster and Concrete Product Manufacturing","Employee Count",900,
"2018","Canterbury Region","C209 Other Non-Metallic Mineral Product Manufacturing","Geographic Units",24,
"2018","Canterbury Region","C209 Other Non-Metallic Mineral Product Manufacturing","Employee Count",120,
"2018","Canterbury Region","C211 Basic Ferrous Metal Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C211 Basic Ferrous Metal Manufacturing","Employee Count",85,
"2018","Canterbury Region","C212 Basic Ferrous Metal Product Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C212 Basic Ferrous Metal Product Manufacturing","Employee Count",45,
"2018","Canterbury Region","C213 Basic Non-Ferrous Metal Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C213 Basic Non-Ferrous Metal Manufacturing","Employee Count",220,
"2018","Canterbury Region","C214 Basic Non-Ferrous Metal Product Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C214 Basic Non-Ferrous Metal Product Manufacturing","Employee Count",40,
"2018","Canterbury Region","C221  Iron and Steel Forging","Geographic Units",3,
"2018","Canterbury Region","C221  Iron and Steel Forging","Employee Count",9,
"2018","Canterbury Region","C222 Structural Metal Product Manufacturing","Geographic Units",177,
